k,l,m,n,o,p,q,r,s,t,u,v,w,x,y
0,0,9.961,0.218,0,11.115,2,2.147,0,0,0,3,0,0,1
0,0,9.619,-0.071,0,10.797,2,2.017,0,0,0,1,0,0,1
0,0,10.906,-0.851,0,37.824,6,2.262,0,0,0,6,0,0,1
2,0,10.222,-0.432,1,11.023,2,2.311,1,0,1,2,0,0,0
0,0,10.434,0,0,0,0,2.414,0,1,0,0,0,0,0
0,0,8.16,0,0,0,0,1.802,0,0,0,1,0,0,1
0,0,9.184,0,0,0,0,2,0,0,0,2,1,0,0
0,0,6.594,0,0,0,0,1.414,1,0,1,0,0,0,1
0,0,9.801,0,0,0,5,2.189,5,0,0,2,0,0,1
2,0,10.379,-1.165,0,23.409,4,2.351,0,0,0,0,0,0,1
3,0,10.642,0,0,0,3,2.236,0,0,0,0,0,0,1
2,0,9.54,0,2,0,0,2.175,4,0,2,0,0,0,0
3,0,9.833,0,2,0,0,2.246,4,0,2,1,0,0,0
0,0,9.309,1.101,0,0,0,2,3,0,3,2,0,0,0
3,0,9.902,0,2,0,1,2.267,2,0,1,1,0,0,0
3,0,9.833,0,3,0,1,2.246,1,1,0,0,0,0,0
3,0,9.833,0,3,0,1,2.246,1,1,0,0,0,0,0
1,0,10.864,-1.903,0,35.007,3,2.511,2,0,2,1,0,0,0
0,0,9.707,0,0,0,0,1.978,0,0,1,1,0,0,1
3,0,10.158,0,1,0,0,2.327,2,0,1,0,0,0,0
0,0,9.389,0,0,0,2,2,3,0,1,2,0,0,1
4,0,10.355,0,0,0,0,2.471,0,0,0,0,0,0,0
3,2,10.309,0,3,40.816,5,2.338,1,0,2,0,0,0,0
0,0,10.053,0,0,0,3,2.236,3,0,0,4,0,0,0
0,0,8.597,0,0,0,0,1.848,0,1,0,2,0,0,0
0,0,9.459,-0.549,0,10.009,3,2.199,0,0,0,1,0,0,1
3,0,10.642,0,1,0,1,2.411,1,0,0,0,0,0,0
3,0,10.138,0,1,0,1,2.365,0,0,0,0,0,0,0
0,0,10.771,0,0,0,5,2.303,4,0,0,6,0,0,0
3,1,10.666,0,2,42.164,5,2.389,1,0,1,1,0,0,0
10,0,10.991,0,8,0,2,2.449,2,1,0,0,0,0,0
3,1,10.099,0,3,20.473,2,2.305,0,1,1,0,0,0,0
3,1,10.099,0,2,20.318,3,2.292,1,0,1,1,0,0,0
0,0,9.222,-0.125,0,20.067,2,2,0,0,0,2,0,0,1
2,0,10.235,-0.505,2,11.03,3,2.295,1,0,1,2,0,0,0
4,0,10.06,0,4,0,0,2.303,0,1,0,0,0,0,0
0,0,9.766,-0.155,0,10.523,1,1.991,2,0,1,1,0,0,0
6,1,11.22,-1.11,6,56.27,7,2.38,1,1,5,3,0,0,0
0,0,9.454,0,0,0,1,2.074,0,1,0,4,0,0,0
0,0,10.735,-0.347,0,11.747,6,2.361,3,0,0,1,0,0,1
0,0,9.202,0,0,0,1,2.042,1,0,0,3,0,0,1
3,0,10.099,0,1,0,1,2.303,1,0,0,3,0,0,0
1,0,10.315,0,0,0,0,2.315,0,0,0,3,0,0,0
0,0,8.891,-0.193,0,9.98,2,1.932,0,0,0,2,0,0,1
1,0,9.391,0,0,0,0,2.149,2,0,1,1,0,0,1
3,0,10.15,-0.991,2,10.2,3,2.281,1,1,0,1,0,0,0
8,0,11.361,0,2,0,2,2.459,2,0,0,8,0,0,0
0,0,8.597,-0.981,0,9.25,2,1.848,1,0,0,0,0,0,1
0,0,11.219,0,0,0,4,2.298,0,0,0,10,0,0,0
0,0,9.383,-0.275,0,10.276,4,1.98,0,0,0,2,0,0,1
0,0,12.114,0.765,0,0,0,2.804,0,1,0,0,0,0,0
0,0,9.104,0,0,0,1,2.029,1,0,1,3,0,0,0
0,0,8.16,0,0,0,0,1.802,0,0,0,2,1,0,0
0,0,9.522,0,0,0,0,1.97,0,0,0,2,1,0,1
