j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,label
1,1,4.814,0,1.861,0,0,0,1.112,0,0,2.6622,0,0,1.452,0,0
1,0,5.236,0.004,2.722,0,0,0,1.12,0,0,2.9421,0,0,1.347,0,0
1,0,5.31,0.015,3.258,0,0,0,1.112,0,1,3.4619,0,0,1.246,0,1
1,0,5.004,-0.008,2.682,3,0,3,1.13,0,4,3.5241,0,1,1.319,0,0
0,0,4.527,0,2.086,0,0,0,1.14,0,0,3.7942,0,0,1.184,-0.117,1
1,0,5.26,0,2.389,0,0,0,1.124,0,6,2.4916,0,0,1.281,-0.416,0
0,0,3.942,0.003,1.739,0,0,0,1.141,0,0,2.7719,0,0,1.22,0,1
1,0,4.845,0.013,2.283,0,0,0,1.11,0,2,3.1806,0,0,1.306,0,0
1,0,4.562,0.045,2.444,0,0,0,1.094,0,2,3.1831,0,0,1.372,0,0
1,0,4.793,0,1.886,0,0,0,1.131,0,1,1.9089,0,0,1.238,0,0
3,0,5.665,0,2.018,0,0,0,1.093,1,0,2.2521,0,0,1.345,0,0
1,0,4.872,-0.002,2.923,4,0,2,1.118,0,2,3.4872,0,0,1.275,0,0
1,0,4.807,-0.025,2.358,0,0,0,1.103,0,2,3.3045,0,0,1.366,0,0
0,0,4.644,0.048,2.815,0,0,0,1.131,0,0,3.9848,0,0,1.223,0.048,1
1,0,4.414,-0.082,2.738,2,0,0,1.128,0,0,2.8688,0,0,1.25,-0.053,1
0,0,3.902,-0.026,2.422,0,0,0,1.146,0,0,3.1373,0,0,1.168,0,0
0,0,4.17,0.401,3.033,1,0,0,1.133,0,0,3.3821,0,0,1.332,0.56,1
1,0,4.895,-0.008,3.182,2,0,1,1.132,0,2,3.4973,0,0,1.222,0,0
1,0,4.732,-0.028,2.889,0,0,0,1.199,0,0,3.6508,0,0,1.146,0,0
4,0,5.022,0,2.505,18,0,14,1.12,0,6,1.587,0,0,1.291,-2.162,0
1,0,4.856,-0.002,2.829,0,0,0,1.12,0,2,3.0549,0,0,1.234,-0.991,0
0,0,5.262,0.172,4.972,0,1,0,1.269,1,0,4.2718,0,0,1.042,0,0
1,0,5.372,0.001,2.542,2,0,3,1.129,0,1,2.8994,0,0,1.249,0,0
1,0,5.04,0.005,3.5,2,0,1,1.127,0,1,3.6112,0,0,1.199,-1.29,1
1,0,4.562,0.046,2.667,2,0,1,1.13,0,2,3.17,0,0,1.226,0,0
0,0,4.263,0.015,3.379,0,0,0,1.135,0,0,3.1913,0,0,1.159,-1.68,1
0,0,5.102,0.047,2.769,0,0,0,1.149,1,0,4.3332,0,0,1.138,-0.426,0
4,0,5.489,0,2.266,0,0,0,1.129,9,4,1.8973,0,0,1.236,-2.385,0
0,0,4.461,-0.007,1.833,4,0,8,1.161,0,0,3.6265,0,0,1.182,0,0
1,0,4.596,0.037,1.708,4,0,0,1.148,0,0,2.3621,0,0,1.2,0,0
5,0,5.013,0,2.444,13,0,16,1.121,0,4,1.8267,0,0,1.277,-1.123,0
1,0,5.422,-0.001,2.1,0,0,0,1.129,2,1,3.3311,0,0,1.265,0,0
6,0,5.306,0,2.846,10,0,11,1.14,0,2,2.2373,0,0,1.191,-1.722,0
4,0,5.349,0,1.989,0,0,0,1.106,0,1,1.9393,0,0,1.312,0,0
0,0,4.343,-0.099,3.917,2,0,2,1.201,0,0,4.368,0,0,1.095,-2.076,0
2,0,5.511,0,2.694,0,0,0,1.092,0,4,2.626,0,0,1.347,0,0
2,1,4.96,-0.001,2.107,0,0,0,1.108,0,1,2.2721,0,0,1.308,0,0
3,0,5.718,0,1.943,0,0,3,1.09,0,0,2.1601,0,0,1.471,0.951,0
1,0,4.607,-0.026,2.537,0,0,0,1.122,0,2,3.1517,0,0,1.214,0,1
3,0,5.119,-0.002,2.222,4,0,6,1.121,0,2,3.0152,0,0,1.302,0,0
0,0,3.414,-0.642,3.75,0,0,0,1.166,0,0,2.2525,0,0,0.98,0,1
1,0,4.679,0.012,1.833,0,0,0,1.121,0,0,2.8711,0,0,1.283,0,0
0,0,4.214,-0.255,3.611,1,0,0,1.166,0,0,3.0457,0,0,1.08,-0.836,1
1,0,4.843,0,2.755,0,0,1,1.139,0,2,2.7944,0,0,1.153,-0.929,0
1,0,4.816,0.001,2.282,3,0,6,1.161,0,0,3.2336,0,0,1.221,0,0
0,0,5.13,-0.021,2.108,0,0,0,1.145,1,0,3.5144,0,0,1.2,0,0
6,0,5.994,0,2.58,0,0,0,1.095,3,0,2.4353,4,0,1.384,0.425,0
3,0,4.802,0.013,1.981,3,0,1,1.109,0,0,3.0226,0,0,1.359,0,1
3,0,4.645,0,2.043,0,0,0,1.107,0,0,1.7575,0,0,1.297,0,1
0,0,4.65,0.004,2.372,3,0,1,1.145,0,0,4.0313,0,0,1.184,0.159,1
2,0,4.85,0,2.544,4,0,6,1.111,0,5,2.209,0,0,1.318,-0.374,0
1,0,4.732,-0.026,2.802,0,0,0,1.103,0,3,3.3803,0,0,1.328,0,0
3,0,4.982,0.004,2.924,0,0,0,1.097,0,0,2.8539,0,0,1.249,-1.101,1
0,0,4.588,0.014,2.833,0,0,0,1.141,0,0,4.0275,0,0,1.174,-0.579,1
1,0,5.071,0.005,3.407,2,0,1,1.123,0,4,3.8133,0,0,1.261,0,0
0,0,5.342,0,1.938,0,0,0,1.135,1,0,5.7766,0,0,1.218,-1.429,0
1,0,4.782,-0.008,2.995,2,0,1,1.124,0,1,3.1979,0,0,1.26,0,0
2,0,5.075,0,2.52,0,0,0,1.108,0,2,2.4622,0,0,1.263,-0.203,0
0,0,4.17,0.419,3.167,1,0,0,1.183,0,0,3.3271,0,1,1.193,0.116,0
1,0,4.845,0,1.958,0,0,0,1.131,0,2,2.7759,0,0,1.217,0,0
4,0,4.933,0,1.951,4,0,3,1.1,0,2,2.0578,0,0,1.34,0,0
0,0,5.509,0,1.604,0,0,0,1.132,0,0,5.4486,0,0,1.397,0,0
0,0,3,0.852,2.833,1,0,0,1.203,0,0,1.925,0,1,1.033,0,0
4,0,5.299,0,2.643,3,0,6,1.146,0,0,1.7433,0,0,1.126,-1.781,0
1,0,5.399,-0.002,2.147,0,0,0,1.127,1,1,3.4164,0,0,1.271,0,0
1,0,4.562,0.046,2.681,0,0,0,1.108,0,2,3.1971,0,0,1.291,0,0
2,1,4.863,0.001,1.981,0,0,0,1.087,0,1,2.4397,0,0,1.381,0,1
0,0,4.495,0.014,2.803,0,0,0,1.141,0,0,3.6519,0,0,1.172,-0.558,1
0,0,4.243,-0.002,2.952,0,0,0,1.143,0,0,3.0402,0,0,1.139,-1.48,1
0,0,3.414,-0.603,3.25,1,0,0,1.178,0,0,2.1848,0,0,0.999,0,1
1,0,5.449,0,1.819,0,0,0,1.13,3,0,3.493,0,0,1.28,0,0
1,1,4.935,0.014,2.764,0,0,0,1.091,0,4,3.5136,0,0,1.379,0,0
0,0,5.646,-0.08,3.104,0,1,0,1.141,2,0,4.4339,0,0,1.264,0,0
1,0,4.807,-0.024,2.333,0,0,0,1.12,0,1,3.2498,0,0,1.275,0,0
4,0,5.045,0,1.951,4,0,4,1.1,0,2,2.1704,0,0,1.338,0,0
2,0,4.844,0,2.573,0,0,0,1.104,0,2,2.3785,0,0,1.266,-0.439,1
1,0,5.29,0,2.227,5,0,1,1.136,0,0,3.4786,0,0,1.263,0,0
2,0,4.93,-0.001,2.405,2,0,7,1.144,0,0,2.6974,0,0,1.242,0,0
0,0,4.383,0,1.789,0,0,0,1.14,0,0,3.2291,0,0,1.199,0.022,1
3,0,5.611,0,2.171,0,0,0,1.114,1,2,2.1018,0,0,1.259,0,0
0,0,4.303,-0.264,3.154,0,0,0,1.155,0,0,3.6845,0,0,1.172,0,0
2,0,4.893,0,1.878,0,0,0,1.107,0,0,2.2807,0,0,1.334,0,0
0,0,4,-0.557,3.056,0,0,0,1.138,0,0,3.0897,0,0,1.288,0,0
1,0,4.799,-0.002,2.316,2,0,4,1.164,0,0,3.2436,0,0,1.211,0,0
1,0,5.267,0.001,3.103,2,0,4,1.085,0,4,3.9658,0,0,1.402,0,0
0,0,4.386,0,2.044,0,0,0,1.14,0,0,3.408,0,0,1.186,-0.09,1
2,0,4.887,0,2.337,4,0,2,1.116,0,4,2.291,0,0,1.32,0,0
3,0,4.802,0.013,2.019,2,0,1,1.089,0,0,3.0585,0,0,1.408,0,0
1,0,4.499,0.043,2.146,1,0,2,1.127,0,0,2.8728,0,0,1.257,0,1
3,0,5.003,0.004,2.091,2,0,3,1.108,0,1,2.9434,0,0,1.321,0,0
1,0,5.027,0.013,2.267,0,0,0,1.123,0,1,3.4136,0,0,1.269,0,0
1,0,3.618,-0.238,2.3,2,0,0,1.157,0,0,3.4601,0,0,1.306,0,1
2,0,4.842,-0.002,1.944,0,0,0,1.094,0,0,2.4571,0,0,1.336,0,1
1,0,4.362,0.041,2.333,2,0,0,1.147,0,0,2.3925,0,0,1.177,0.225,1
1,0,5.201,-0.001,3.756,2,0,2,1.129,0,1,3.8748,0,0,1.174,-3.157,0
0,0,3.802,0.139,2.532,0,0,0,1.145,0,0,2.8705,0,0,1.197,0,0
1,0,5.006,-0.003,3.624,4,0,2,1.137,0,3,3.7801,0,0,1.231,0,0
0,0,4.372,-0.025,2.517,0,0,0,1.139,0,0,3.3652,0,0,1.186,-0.177,1
0,0,4.214,-0.263,3.194,0,0,0,1.139,0,0,3.7074,0,0,1.186,-0.329,1
0,0,3.414,-0.57,2.806,0,0,0,1.142,0,0,2.2062,0,0,1.28,0,0
0,0,5.164,0.131,2.893,0,0,0,1.153,1,0,3.5612,0,0,1.091,0,0
0,0,3.966,0,1.618,2,0,2,1.145,0,0,2.9244,0,0,1.194,0,1
1,0,4,0.34,2.083,0,0,0,1.146,0,0,2.3699,0,0,1.09,0,1
1,0,4.732,-0.024,2.037,0,0,0,1.109,0,0,2.9815,0,0,1.324,1.121,0
1,0,4.414,-0.091,3.548,0,0,0,1.116,0,0,3.2075,0,0,1.183,-1.157,1
0,0,4.214,-0.249,2.944,0,0,0,1.149,0,0,3.3939,0,0,1.138,-0.211,1
2,0,4.83,0,1.904,4,0,2,1.126,0,2,2.1379,0,0,1.287,0,0
1,1,4.732,-0.024,2.12,0,0,0,1.094,0,0,3.0207,0,0,1.395,0.933,0
6,0,5.995,0,2.6,0,0,0,1.102,3,0,2.3808,4,0,1.373,0.394,0
0,0,4.404,0.015,2.985,0,0,0,1.145,0,0,3.5332,0,0,1.128,-0.595,1
0,0,3.802,0.141,2.929,2,0,0,1.166,0,0,2.7308,0,0,1.058,0,1
1,0,5.286,0,3.278,3,0,6,1.159,0,0,3.4146,0,0,1.111,-2.66,0
1,0,4.593,0.014,2.483,3,0,1,1.125,0,1,2.8754,0,0,1.264,-0.036,1
1,0,4.414,-0.081,2.381,3,0,1,1.141,0,0,3.2496,0,0,1.253,0,0
0,0,5.248,-0.008,2.664,1,0,0,1.133,0,0,4.2601,0,0,1.287,-0.08,0
0,0,5.13,-0.022,2.258,0,0,0,1.141,1,0,3.5878,0,0,1.237,0,0
0,0,3.986,0,1.685,0,0,0,1.141,0,0,2.958,0,0,1.198,0,1
1,1,4.562,0.045,2.51,0,0,0,1.1,0,2,3.173,0,0,1.347,0,0
2,0,5.495,0,2.059,0,0,0,1.127,4,2,2.7485,0,0,1.271,0,0
1,0,4.965,-0.008,3.182,2,0,2,1.132,0,2,3.6023,0,0,1.218,0,0
2,0,5.979,0,3.161,6,1,5,1.162,5,4,2.4858,0,0,1.152,-3.631,0
10,0,5.386,0,2.367,0,0,0,1.083,0,0,2.1526,0,0,1.336,-0.132,0
0,0,4.523,0.048,3.093,0,0,0,1.142,0,0,4.0241,0,0,1.121,-0.913,1
2,0,4.961,0,2.572,0,0,0,1.104,0,4,2.4328,0,0,1.305,0,0
1,0,5.302,0,2.554,2,0,0,1.121,0,2,3.576,0,0,1.316,0,0
0,0,4.644,-0.025,2.533,0,0,0,1.139,0,0,3.7043,0,0,1.197,0.185,1
1,0,5.12,0,2.481,0,0,0,1.131,0,0,3.2785,0,0,1.195,-1.775,1
0,0,4.377,-0.02,2.055,0,0,0,1.129,0,0,2.8894,0,0,1.45,0,0
1,0,4.835,0.001,2.619,3,0,2,1.126,0,1,2.8214,0,0,1.261,-0.386,0
6,0,5.38,0,2.353,0,0,0,1.125,0,0,2.1089,5,0,1.237,0.787,0
0,0,4.362,-0.089,3.208,1,0,0,1.144,0,0,3.6459,0,0,1.205,-0.449,1
4,0,4.803,0,2.26,4,0,6,1.127,0,2,1.403,0,0,1.215,-0.069,0
6,0,5.735,0,2.083,0,0,0,1.134,2,0,1.9915,2,0,1.18,0,0
1,0,4.303,0.15,2.694,2,0,0,1.199,0,0,3.5568,0,0,1.194,0,0
0,0,3.618,0.33,1.9,2,0,0,1.161,0,0,2.3911,0,0,1.129,0,1
1,0,4.977,0,2.321,0,0,0,1.143,0,0,1.9472,0,0,1.153,-0.338,1
0,0,4.412,0,1.889,0,0,0,1.14,0,0,3.402,0,0,1.193,-0.327,1
1,0,4.807,-0.024,2.333,0,0,0,1.12,0,1,3.2486,0,0,1.272,0,1
0,0,3,0.764,2.167,0,0,0,1.174,0,0,1.8227,0,0,1.126,0,1
7,1,5.421,0,2.561,2,0,4,1.097,0,5,1.9985,0,0,1.305,-0.848,0
1,0,4.977,0,2.267,0,0,0,1.142,0,0,1.8975,0,0,1.157,-0.336,1
3,0,5.777,-0.002,2.097,0,0,0,1.139,2,0,2.3194,3,0,1.182,0,0
1,0,4.923,0.015,2.933,2,0,1,1.127,0,1,3.5053,0,0,1.254,0,0
1,0,4.923,0.015,3.333,2,0,1,1.13,0,2,3.5834,0,0,1.213,0,0
1,0,5.072,0,2.704,0,0,0,1.117,0,0,3.1939,0,0,1.235,-1.165,1
1,0,4.829,0,2.736,3,0,1,1.127,0,1,2.9046,0,0,1.227,-0.664,1
1,0,4,0.121,1.833,4,0,0,1.166,0,0,2.1902,0,0,1.107,0,0
3,0,4.923,-0.008,2.433,2,0,2,1.097,0,1,2.7189,0,0,1.327,0.014,0
4,0,5.216,0,2.413,2,0,3,1.129,1,0,1.781,2,0,1.225,1.53,0
0,0,5.602,0.013,2.346,0,0,0,1.164,0,0,5.159,0,0,1.231,0,0
0,0,5.27,0,2.185,6,0,0,1.145,0,0,5.6107,0,0,1.235,2.593,0
1,0,4,0.128,2,2,0,0,1.158,0,0,2.2975,0,0,1.095,0,0
6,0,5.352,0,2.575,0,0,0,1.084,0,1,2.412,0,0,1.327,-0.321,0
0,0,5,0.389,3.117,0,1,0,1.135,1,0,3.5426,0,0,1.366,0,0
2,0,5.512,0,2.301,0,0,0,1.124,1,2,2.2581,0,0,1.227,0,0
0,0,4.752,0,2.375,0,0,0,1.143,0,0,3.995,0,0,1.149,-0.307,1
6,0,5.352,0,2.569,2,0,3,1.099,0,1,2.4062,0,0,1.298,-0.309,0
6,0,5.408,0,2.292,8,0,6,1.121,0,2,2.3533,0,0,1.276,-0.202,0
0,0,4.67,-0.002,2.262,0,0,0,1.139,0,0,4.0218,0,0,1.203,0.218,1
3,0,4.982,0.004,2.833,2,0,2,1.109,0,0,2.8025,0,0,1.261,-0.601,1
1,0,5.086,0.126,2.31,0,0,0,1.14,1,0,2.4664,1,0,1.169,0,0
1,0,4.642,-0.025,2.315,2,0,1,1.132,0,2,3.1871,0,0,1.231,0,0
1,0,4.607,-0.027,2.87,1,0,2,1.11,0,1,3.1387,0,0,1.295,0,1
1,0,5.541,0,2.994,3,0,4,1.137,1,1,3.7298,0,0,1.28,0,0
2,0,4.953,0,1.73,4,0,4,1.128,0,2,1.9231,0,0,1.265,0,0
2,0,5.423,0,3.308,4,0,2,1.119,0,6,2.9683,0,0,1.262,0,0
1,0,5.029,-0.008,3.202,2,0,1,1.117,0,3,3.701,0,0,1.297,0,0
1,0,4.414,-0.077,2.238,2,0,1,1.125,0,1,3.0837,0,0,1.282,0,1
0,0,4.228,0.136,2.548,0,0,0,1.153,0,0,3.1334,0,0,1.103,0,0
2,0,5.161,0,3.037,0,0,0,1.112,0,4,2.5397,0,0,1.222,-0.525,0
0,0,4.17,0.387,2.611,0,0,0,1.117,0,0,3.1822,0,0,1.408,0.532,0
10,0,5.997,0,2.366,0,0,0,1.099,3,0,2.1119,6,0,1.378,0.654,0
0,0,5.184,0.004,2.6,0,0,0,1.147,0,0,3.9866,0,0,1.158,0,0
2,0,5.072,0,2.708,0,0,0,1.104,0,2,2.4738,0,0,1.267,-0.266,0
3,0,4.861,-0.007,2.033,3,0,1,1.103,0,0,2.9856,0,0,1.338,0,0
1,0,4,0.039,1.75,0,0,0,1.125,0,0,2.2857,0,0,1.295,0,0
0,0,4.468,-0.008,2.944,0,0,0,1.139,0,0,4.1984,0,0,1.158,-1.073,1
0,0,3.919,0.014,2.318,0,0,0,1.151,0,0,3.1183,0,0,1.116,0,1
1,0,4.807,-0.025,2.58,2,0,1,1.117,0,3,3.3506,0,0,1.332,0,0
0,0,4.343,-0.092,4.042,0,0,0,1.149,0,0,3.3851,0,0,1.075,-2.153,1
2,0,5.221,0,2.802,0,0,0,1.095,0,8,2.7448,0,0,1.336,0,0
1,0,4.807,-0.026,2.802,0,0,0,1.103,0,3,3.3875,0,0,1.317,0,0
2,0,5.035,0,2.458,0,0,0,1.104,0,0,2.2675,0,0,1.277,-0.271,1
0,0,5.271,0,1.959,0,0,0,1.142,0,0,5.431,0,0,1.194,0,0
1,0,4.732,0.047,2.917,0,0,0,1.119,0,2,3.3319,0,0,1.219,0,1
2,0,5.494,0,2.04,0,0,0,1.119,2,1,2.7618,0,0,1.288,0,0
1,0,4.922,0.005,3.292,5,0,5,1.137,0,2,3.5441,0,0,1.254,0,0
6,0,4.802,0,1.967,4,0,4,1.069,0,0,1.7012,0,0,1.455,0,0
2,0,4.901,0,2.781,2,0,1,1.107,0,5,2.5104,0,0,1.295,0,0
0,0,4.214,-0.236,2.722,0,0,0,1.156,0,0,3.0057,0,0,1.104,0,1
2,0,4.649,0,2.2,8,0,7,1.121,0,3,2.3407,0,0,1.285,0,0
0,0,5.175,0.013,2.265,0,0,0,1.136,1,0,3.753,0,0,1.224,1.296,1
0,0,5.175,0.014,2.538,0,0,0,1.146,1,0,3.9016,0,0,1.146,-0.239,1
1,0,4.828,0.013,1.983,0,0,0,1.113,0,0,3.0766,0,0,1.31,0,0
0,0,4.476,-0.079,2.625,0,0,0,1.146,0,0,3.7418,0,0,1.153,-0.195,1
0,0,4.482,0.004,2.577,0,0,0,1.151,0,0,3.906,0,0,1.107,0,0
1,0,5.388,0.004,2.188,0,0,0,1.126,1,1,3.3114,0,0,1.27,0,0
1,0,4.869,0.004,2.75,0,0,0,1.123,0,2,3.2685,0,0,1.22,0,1
0,0,3.732,-0.247,3.167,1,0,0,1.172,0,0,2.6724,0,0,1.024,0,1
1,0,5.107,0.001,2.47,0,0,0,1.126,1,0,2.9658,0,0,1.217,-0.472,0
3,0,5.509,0,3.377,2,0,2,1.116,0,3,3.254,0,0,1.251,0,0
2,0,5.003,0,2.753,15,0,12,1.137,0,6,2.6389,0,0,1.218,-1.11,0
3,0,5.003,0.004,1.909,0,0,0,1.099,0,0,2.9132,0,0,1.349,0,0
0,0,4.496,0.003,1.654,3,0,3,1.147,0,0,3.6686,0,0,1.197,0,0
0,0,4.346,0.046,2.63,0,0,0,1.139,0,0,3.4572,0,0,1.181,-0.33,1
1,0,4.953,-0.008,2.773,2,0,1,1.129,0,1,3.2896,0,0,1.214,-0.907,1
1,0,4.236,0,1.611,0,0,0,1.14,0,0,1.599,0,0,1.189,0,1
0,0,5.311,0.012,2.386,0,0,0,1.147,1,0,3.9327,0,0,1.137,0,0
2,1,4.88,-0.001,2.012,0,0,0,1.08,0,2,2.4237,0,0,1.425,0,0
1,0,5.313,-0.008,3.114,3,0,3,1.136,0,2,3.4071,0,0,1.244,0,0
0,0,3.802,0.108,1.643,0,0,0,1.144,0,0,2.4475,0,0,1.195,0,1
0,1,4,-0.48,2.021,0,0,0,1.137,0,0,2.4305,0,0,1.386,0,1
3,0,4.802,0.014,2.204,6,0,4,1.136,0,0,3.136,0,0,1.31,0,0
1,0,4.77,0.012,1.817,0,0,0,1.128,0,0,2.4954,1,0,1.272,2.904,1
0,0,5.098,-0.085,3.552,1,0,0,1.159,0,0,3.8431,0,0,1.131,0,1
2,0,4.792,0,1.85,4,0,0,1.106,0,0,1.7397,0,0,1.364,2.068,0
1,0,4.303,0.131,2.222,2,0,0,1.146,0,0,2.6572,0,0,1.3,0.787,0
0,0,4.412,0,1.899,0,0,0,1.137,0,0,3.4435,0,0,1.208,-0.268,1
1,0,4.795,-0.002,2.436,0,0,2,1.131,0,1,3.1901,0,0,1.237,-0.44,0
7,0,5.199,0,2.137,10,0,10,1.12,0,2,2.2119,0,0,1.301,0,0
0,0,4.343,-0.097,4.167,0,0,0,1.139,0,0,3.9399,0,0,1.108,-2.514,1
2,0,4.828,0,2.648,0,0,0,1.104,0,0,2.2467,0,0,1.248,-1.417,1
1,0,4.562,0.043,2.167,2,0,1,1.127,0,1,3.0804,0,0,1.282,0,0
1,0,4.593,0.013,1.917,1,0,2,1.13,0,0,2.7059,0,0,1.283,0,0
2,0,4.876,0,2.102,4,0,10,1.126,0,2,2.3994,0,0,1.289,0.401,0
0,0,4.17,0.391,3.367,0,0,0,1.16,0,0,2.8042,0,0,1.044,0,1
1,0,4.77,0.013,2.067,2,0,1,1.13,0,1,2.9221,0,0,1.27,0,0
1,0,4.607,-0.026,2.926,0,0,0,1.111,0,1,3.1116,0,0,1.253,0,1
0,0,3.414,-0.723,4.5,0,0,0,1.139,0,0,2.956,0,0,1.171,0,1
3,0,4.802,-0.007,2.1,2,0,1,1.078,0,2,2.6499,0,0,1.428,0.848,0
1,0,4.732,0.043,2.181,0,0,0,1.107,0,1,3.2158,0,0,1.349,0,0
1,0,4.543,-0.008,2.394,0,0,0,1.109,0,0,2.7404,0,0,1.296,0.078,0
1,0,4.97,0.015,2.9,0,0,0,1.099,0,4,3.567,0,0,1.334,0,1
1,0,4.923,0.014,2.8,0,0,0,1.116,0,0,3.2457,0,0,1.248,-0.863,1
2,0,5,0,2.067,6,0,6,1.128,0,2,2.2838,0,0,1.281,0.556,0
0,0,4.343,-0.097,4.167,0,0,0,1.139,0,0,3.9399,0,0,1.108,-2.514,1
2,0,5.106,0,1.854,0,0,0,1.11,0,0,2.5769,0,0,1.311,0,0
0,1,5.646,-0.098,5,0,2,0,1.286,2,0,4.8079,0,0,1.138,0,0
0,0,4.709,-0.007,2.194,0,0,2,1.115,0,0,4.1448,0,0,1.399,1.674,0
0,0,4.236,0,1.981,1,0,1,1.144,0,0,2.9329,0,0,1.192,-0.155,0
0,0,5.359,-0.001,1.724,0,0,0,1.141,3,0,4.2584,0,0,1.256,0,0
3,0,5.003,0.004,2.101,0,0,0,1.089,0,1,2.9595,0,0,1.369,0,0
1,0,4.912,-0.026,2.802,0,0,0,1.103,0,3,3.4778,0,0,1.318,0,0
0,0,3.618,0.363,2.8,0,0,0,1.144,0,0,2.4524,0,0,1.189,0,1
